[progress] browser launching WebGPU harness...
[progress] browser resolved modelUrl=/models/local/gemma-3-1b-it
[browser:error] Failed to load resource: the server responded with a status of 404 (Not Found)
[browser:log] [217.0ms][OPFSCache] Cache hit: "gemma-3-1b-it"
[browser:log] [GPU] apple metal-3, f16/subgroups, 4.0GB
[browser:log] [229.9ms][Config] Using manifest-first config (source of truth)
[browser:log] [230.6ms][Pipeline] KernelPath: gemma3-f16-f16a (15 decode steps, 10 kernels, source=config)
[browser:log] [230.7ms][Pipeline] 26L/1152H/4heads (256dim), kernelPath=gemma3-f16-f16a
[browser:log] [230.9ms][Tokenizer] Loading bundled tokenizer from tokenizer.json
[browser:log] [373.2ms][Tokenizer] HuggingFace model.type="BPE", using type="bpe"
[browser:log] [598.1ms][Tokenizer] Loaded HuggingFace 262145 tokens (bpe), 9 special patterns, 514906 merges
[browser:log] [598.1ms][Pipeline] Tokenizer vocabSize=262145 differs from model=262144, using model size
[browser:log] [598.8ms][Loader] Initializing...
[browser:log] [631.1ms][HeapManager] Allocated segment 0: 1024MB
[browser:log] [631.2ms][HeapManager] Segmented heap: 1GB per segment
[browser:log] [631.3ms][HeapManager] Initialized with strategy: SEGMENTED
[browser:log] [631.4ms][Loader] Initialized (f16, subgroups, unified)
[browser:log] [631.6ms][Loader] Loading: gemma-3-1b-it
[browser:log] [631.9ms][Loader] [0.0s] Memory (start): | Heap=2.05 GB/2.05 GB (limit=4.00 GB) | GPU=0 B (0 active, 0 pooled, peak=0 B) | ShardCache=0 B (0 shards) | Layers=0, GPUBuffers=0
[browser:log] [2517.9ms][Loader] Embeddings tensor loaded: name=model.embed_tokens.weight, hasShape=true, shape=[262144,1152], isWeightBuffer=true
[browser:log] [2518.1ms][Loader] Layers: 0-25
[browser:log] [3402.8ms][Loader] Layers: 26 complete (0.88s)
[browser:warning] [3407.6ms][Loader] [FinalNorm] Falling back to role-only final norm selection because tensor groups are missing in manifest.
[browser:log] [3408.8ms][Loader] Complete: 0 B in 1.29s (0 B/s)
[browser:log] [3409.0ms][Loader] [2.8s] Memory (complete): | Heap=1.14 GB/1.14 GB (limit=4.00 GB) | GPU=2.04 GB (340 active, 0 pooled, peak=2.04 GB) | ShardCache=0 B (0 shards) | Layers=26, GPUBuffers=340
[browser:log] [3568.4ms][Pipeline] Model loaded successfully
[browser:warning] [3569.6ms][CommandRecorder] maxQuerySetSize unavailable; using fallback 4096
[browser:log] [3581.4ms][KernelSelect] matmul variant=f16 reason=path_override_adaptive_fallback
[browser:log] [3585.3ms][KernelSelect] attention variant=prefill_streaming_f16 reason=path_override:streaming
[browser:warning] [3718.7ms][Profile] Prefill (prefill):
[browser:warning] [3719.0ms][Profile] GPU Profile Report
──────────────────────────────────────────────────
Kernel                      Time (ms)       %
matmul:ffn_up:L25                0.54     0.5
matmul:ffn_up:L19                0.54     0.5
matmul:ffn_gate:L23              0.54     0.5
matmul:ffn_up:L17                0.54     0.5
matmul:ffn_gate:L9               0.54     0.5
matmul:ffn_gate:L16              0.54     0.5
matmul:ffn_gate:L4               0.54     0.5
matmul:ffn_gate:L18              0.54     0.5
matmul:ffn_up:L18                0.54     0.5
matmul:ffn_gate:L8               0.53     0.5
matmul:ffn_gate:L3               0.53     0.5
matmul:ffn_gate:L14              0.53     0.5
matmul:ffn_gate:L6               0.53     0.5
matmul:ffn_up:L9                 0.53     0.5
matmul:ffn_up:L3                 0.53     0.5
matmul:ffn_up:L6                 0.53     0.5
matmul:ffn_up:L16                0.53     0.5
matmul:ffn_up:L14                0.53     0.5
matmul:q_proj:L0                 0.40     0.4
matmul:o_proj:L0                 0.39     0.4
matmul:q_proj:L1                 0.39     0.4
matmul:o_proj:L1                 0.38     0.4
rope                             0.25     0.2
matmul:q_proj:L2                 0.19     0.2
matmul:k_proj:L0                 0.18     0.2
matmul:v_proj:L0                 0.18     0.2
matmul:v_proj:L1                 0.17     0.2
matmul:k_proj:L1                 0.17     0.2
matmul:q_proj:L24                0.15     0.1
matmul:o_proj:L13                0.15     0.1
matmul:o_proj:L24                0.13     0.1
matmul:q_proj:L14                0.13     0.1
matmul:k_proj:L2                 0.12     0.1
matmul:v_proj:L24                0.12     0.1
matmul:k_proj:L24                0.11     0.1
matmul:o_proj:L16                0.11     0.1
matmul:v_proj:L14                0.11     0.1
matmul:o_proj:L22                0.11     0.1
matmul:k_proj:L14                0.11     0.1
matmul:v_proj:L2                 0.11     0.1
matmul:q_proj:L13                0.11     0.1
matmul:o_proj:L4                 0.10     0.1
matmul:q_proj:L10                0.10     0.1
matmul:o_proj:L5                 0.10     0.1
matmul:o_proj:L3                 0.10     0.1
matmul:q_proj:L20                0.10     0.1
matmul:o_proj:L15                0.10     0.1
matmul:q_proj:L7                 0.10     0.1
matmul:o_proj:L6                 0.10     0.1
matmul:q_proj:L11                0.10     0.1
matmul:o_proj:L18                0.10     0.1
matmul:q_proj:L3                 0.10     0.1
matmul:q_proj:L25                0.10     0.1
matmul:q_proj:L12                0.10     0.1
matmul:q_proj:L4                 0.10     0.1
matmul:q_proj:L22                0.10     0.1
matmul:q_proj:L23                0.10     0.1
matmul:o_proj:L14                0.10     0.1
matmul:q_proj:L5                 0.10     0.1
matmul:o_proj:L12                0.10     0.1
matmul:q_proj:L16                0.10     0.1
matmul:o_proj:L21                0.10     0.1
matmul:q_proj:L21                0.10     0.1
matmul:q_proj:L9                 0.10     0.1
matmul:q_proj:L6                 0.10     0.1
matmul:q_proj:L8                 0.10     0.1
matmul:o_proj:L10                0.10     0.1
matmul:q_proj:L15                0.10     0.1
matmul:q_proj:L19                0.10     0.1
matmul:o_proj:L9                 0.10     0.1
matmul:q_proj:L18                0.10     0.1
matmul:o_proj:L19                0.10     0.1
matmul:o_proj:L17                0.10     0.1
matmul:o_proj:L11                0.10     0.1
matmul:q_proj:L17                0.10     0.1
matmul:o_proj:L20                0.10     0.1
matmul:o_proj:L23                0.10     0.1
matmul:o_proj:L8                 0.10     0.1
matmul:o_proj:L7                 0.10     0.1
matmul:o_proj:L25                0.10     0.1
matmul:k_proj:L10                0.06     0.1
matmul:v_proj:L10                0.06     0.1
matmul:v_proj:L13                0.05     0.0
matmul:k_proj:L13                0.05     0.0
matmul:k_proj:L3                 0.05     0.0
matmul:k_proj:L11                0.05     0.0
matmul:v_proj:L21                0.05     0.0
matmul:k_proj:L15                0.05     0.0
matmul:v_proj:L5                 0.05     0.0
matmul:v_proj:L11                0.05     0.0
matmul:v_proj:L23                0.05     0.0
matmul:k_proj:L22                0.05     0.0
matmul:v_proj:L22                0.05     0.0
matmul:k_proj:L21                0.05     0.0
matmul:k_proj:L12                0.05     0.0
matmul:v_proj:L7                 0.05     0.0
matmul:k_proj:L20                0.05     0.0
matmul:k_proj:L23                0.05     0.0
matmul:v_proj:L3                 0.05     0.0
matmul:v_proj:L20                0.05     0.0
matmul:k_proj:L17                0.05     0.0
matmul:k_proj:L25                0.05     0.0
matmul:k_proj:L6                 0.05     0.0
matmul:k_proj:L7                 0.05     0.0
matmul:k_proj:L5                 0.05     0.0
matmul:v_proj:L15                0.05     0.0
matmul:k_proj:L9                 0.05     0.0
matmul:k_proj:L4                 0.05     0.0
matmul:k_proj:L8                 0.05     0.0
matmul:k_proj:L19                0.05     0.0
matmul:v_proj:L12                0.05     0.0
matmul:k_proj:L16                0.05     0.0
matmul:v_proj:L17                0.05     0.0
matmul:v_proj:L25                0.05     0.0
matmul:v_proj:L9                 0.05     0.0
matmul:v_proj:L4                 0.05     0.0
matmul:v_proj:L8                 0.05     0.0
matmul:v_proj:L18                0.05     0.0
matmul:v_proj:L19                0.05     0.0
matmul:k_proj:L18                0.05     0.0
matmul:v_proj:L6                 0.05     0.0
matmul:v_proj:L16                0.05     0.0
gather                           0.01     0.0
scale                            0.01     0.0
──────────────────────────────────────────────────
TOTAL                          107.87   100.0

[browser:log] [3838.7ms][KernelSelect] matmul variant=gemv_subgroup_vec4_f16a reason=path_override
[browser:log] [3841.1ms][KernelSelect] attention variant=decode_chunked_f16 reason=path_override:tiled_large
[browser:log] [3858.0ms][KernelSelect] matmul variant=gemv_subgroup_multicol_f16a reason=path_override
[browser:warning] [4284.9ms][Profile] Batch decode (N=4):
[browser:warning] [4285.2ms][Profile] GPU Profile Report
──────────────────────────────────────────────────
Kernel                      Time (ms)       %
──────────────────────────────────────────────────
fused_ffn                       43.28    11.9
matmul:lm_head                  33.39     9.2
attention                       20.63     5.7
matmul_rmsnorm_fused:L6.ffn_down       11.00     3.0
matmul_rmsnorm_fused:L25.ffn_down       10.91     3.0
matmul_rmsnorm_fused:L4.ffn_down       10.71     2.9
matmul_rmsnorm_fused:L1.ffn_down       10.65     2.9
matmul_rmsnorm_fused:L16.ffn_down       10.63     2.9
matmul_rmsnorm_fused:L19.ffn_down       10.49     2.9
matmul_rmsnorm_fused:L22.ffn_down       10.45     2.9
matmul_rmsnorm_fused:L15.ffn_down       10.24     2.8
matmul_rmsnorm_fused:L11.ffn_down       10.05     2.8
matmul_rmsnorm_fused:L8.ffn_down        9.63     2.6
matmul_rmsnorm_fused:L9.ffn_down        9.51     2.6
matmul_rmsnorm_fused:L0.ffn_down        9.43     2.6
matmul_rmsnorm_fused:L14.ffn_down        9.03     2.5
matmul_rmsnorm_fused:L12.ffn_down        8.99     2.5
matmul_rmsnorm_fused:L2.ffn_down        8.95     2.5
matmul_rmsnorm_fused:L20.ffn_down        8.92     2.5
matmul_rmsnorm_fused:L18.ffn_down        8.91     2.5
matmul_rmsnorm_fused:L17.ffn_down        8.88     2.4
matmul_rmsnorm_fused:L13.ffn_down        8.84     2.4
matmul_rmsnorm_fused:L21.ffn_down        8.83     2.4
matmul_rmsnorm_fused:L10.ffn_down        8.81     2.4
matmul_rmsnorm_fused:L5.ffn_down        8.79     2.4
matmul_rmsnorm_fused:L23.ffn_down        8.79     2.4
matmul_rmsnorm_fused:L7.ffn_down        8.75     2.4
matmul_rmsnorm_fused:L3.ffn_down        8.73     2.4
matmul_rmsnorm_fused:L24.ffn_down        8.72     2.4
rmsnorm                          3.51     1.0
sample_phase2                    3.31     0.9
rope                             0.76     0.2
matmul:q_proj:L0                 0.21     0.1
matmul:o_proj:L0                 0.19     0.1
matmul:o_proj:L1                 0.18     0.1
matmul:q_proj:L1                 0.18     0.0
matmul:q_proj:L9                 0.18     0.0
matmul:q_proj:L15                0.18     0.0
matmul:o_proj:L20                0.18     0.0
matmul:o_proj:L9                 0.17     0.0
matmul:o_proj:L15                0.17     0.0
matmul:o_proj:L6                 0.17     0.0
matmul:o_proj:L11                0.17     0.0
matmul:q_proj:L22                0.16     0.0
matmul:q_proj:L17                0.16     0.0
matmul:q_proj:L23                0.16     0.0
matmul:q_proj:L20                0.16     0.0
matmul:q_proj:L2                 0.16     0.0
matmul:q_proj:L14                0.16     0.0
matmul:o_proj:L2                 0.16     0.0
matmul:o_proj:L22                0.16     0.0
matmul:o_proj:L12                0.15     0.0
matmul:q_proj:L3                 0.15     0.0
matmul:q_proj:L10                0.15     0.0
matmul:q_proj:L11                0.15     0.0
matmul:q_proj:L18                0.15     0.0
matmul:o_proj:L3                 0.15     0.0
matmul:o_proj:L17                0.15     0.0
matmul:q_proj:L4                 0.15     0.0
matmul:q_proj:L12                0.14     0.0
matmul:o_proj:L10                0.14     0.0
matmul:o_proj:L18                0.14     0.0
matmul:q_proj:L5                 0.14     0.0
matmul:o_proj:L8                 0.14     0.0
matmul:o_proj:L4                 0.14     0.0
matmul:o_proj:L23                0.14     0.0
matmul:q_proj:L8                 0.14     0.0
matmul:o_proj:L14                0.14     0.0
matmul:o_proj:L7                 0.14     0.0
matmul:q_proj:L19                0.14     0.0
matmul:q_proj:L6                 0.14     0.0
matmul:q_proj:L7                 0.13     0.0
matmul:o_proj:L5                 0.13     0.0
matmul:q_proj:L21                0.13     0.0
matmul:o_proj:L21                0.13     0.0
matmul:o_proj:L24                0.13     0.0
matmul:q_proj:L24                0.13     0.0
matmul:o_proj:L19                0.13     0.0
matmul:o_proj:L25                0.13     0.0
matmul:o_proj:L16                0.13     0.0
matmul:o_proj:L13                0.13     0.0
matmul:q_proj:L16                0.13     0.0
matmul:q_proj:L25                0.13     0.0
matmul:q_proj:L13                0.13     0.0
sample_phase1                    0.10     0.0
matmul:k_proj:L15                0.08     0.0
matmul:k_proj:L0                 0.07     0.0
matmul:v_proj:L15                0.07     0.0
matmul:v_proj:L0                 0.07     0.0
matmul:k_proj:L9                 0.07     0.0
matmul:v_proj:L9                 0.06     0.0
matmul:k_proj:L17                0.06     0.0
matmul:k_proj:L20                0.06     0.0
matmul:v_proj:L22                0.06     0.0
matmul:k_proj:L1                 0.06     0.0
matmul:v_proj:L17                0.06     0.0
matmul:v_proj:L20                0.06     0.0
matmul:v_proj:L5                 0.05     0.0
matmul:k_proj:L11                0.05     0.0
matmul:k_proj:L5                 0.05     0.0
sample_phase3                    0.05     0.0
matmul:k_proj:L22                0.05     0.0
matmul:v_proj:L1                 0.05     0.0
matmul:k_proj:L12                0.05     0.0
matmul:k_proj:L10                0.05     0.0
matmul:k_proj:L2                 0.05     0.0
matmul:v_proj:L14                0.05     0.0
matmul:v_proj:L12                0.05     0.0
matmul:k_proj:L3                 0.05     0.0
matmul:v_proj:L11                0.05     0.0
matmul:v_proj:L10                0.05     0.0
matmul:v_proj:L2                 0.05     0.0
matmul:k_proj:L6                 0.05     0.0
matmul:k_proj:L4                 0.05     0.0
matmul:k_proj:L18                0.05     0.0
matmul:k_proj:L14                0.05     0.0
matmul:k_proj:L23                0.05     0.0
matmul:v_proj:L18                0.05     0.0
matmul:v_proj:L3                 0.05     0.0
matmul:v_proj:L23                0.05     0.0
matmul:k_proj:L7                 0.05     0.0
matmul:v_proj:L6                 0.05     0.0
matmul:v_proj:L4                 0.05     0.0
matmul:k_proj:L25                0.05     0.0
matmul:k_proj:L21                0.05     0.0
matmul:v_proj:L7                 0.05     0.0
matmul:k_proj:L16                0.05     0.0
matmul:k_proj:L8                 0.05     0.0
matmul:v_proj:L8                 0.05     0.0
matmul:v_proj:L19                0.05     0.0
matmul:v_proj:L25                0.05     0.0
matmul:v_proj:L21                0.05     0.0
matmul:k_proj:L19                0.04     0.0
matmul:k_proj:L13                0.04     0.0
matmul:v_proj:L13                0.04     0.0
matmul:v_proj:L16                0.04     0.0
matmul:v_proj:L24                0.04     0.0
matmul:k_proj:L24                0.04     0.0
gather                           0.03     0.0
scale                            0.02     0.0
──────────────────────────────────────────────────
TOTAL                          363.27   100.0

[browser:warning] [4720.6ms][Profile] Batch decode (N=4):
[browser:warning] [4720.8ms][Profile] GPU Profile Report
──────────────────────────────────────────────────
Kernel                      Time (ms)       %
──────────────────────────────────────────────────
fused_ffn                       41.59    11.5
matmul:lm_head                  30.98     8.6
attention                       27.71     7.7
matmul_rmsnorm_fused:L23.ffn_down       11.00     3.0
matmul_rmsnorm_fused:L7.ffn_down       10.55     2.9
matmul_rmsnorm_fused:L15.ffn_down       10.41     2.9
matmul_rmsnorm_fused:L25.ffn_down       10.22     2.8
matmul_rmsnorm_fused:L2.ffn_down       10.11     2.8
matmul_rmsnorm_fused:L17.ffn_down        9.91     2.7
matmul_rmsnorm_fused:L21.ffn_down        9.76     2.7
matmul_rmsnorm_fused:L0.ffn_down        9.73     2.7
matmul_rmsnorm_fused:L4.ffn_down        9.69     2.7
matmul_rmsnorm_fused:L13.ffn_down        9.54     2.6
matmul_rmsnorm_fused:L10.ffn_down        9.39     2.6
matmul_rmsnorm_fused:L22.ffn_down        9.39     2.6
matmul_rmsnorm_fused:L11.ffn_down        9.30     2.6
matmul_rmsnorm_fused:L3.ffn_down        9.10     2.5
matmul_rmsnorm_fused:L12.ffn_down        8.95     2.5
matmul_rmsnorm_fused:L1.ffn_down        8.88     2.5
matmul_rmsnorm_fused:L18.ffn_down        8.85     2.5
matmul_rmsnorm_fused:L24.ffn_down        8.81     2.4
matmul_rmsnorm_fused:L20.ffn_down        8.71     2.4
matmul_rmsnorm_fused:L19.ffn_down        8.71     2.4
matmul_rmsnorm_fused:L8.ffn_down        8.70     2.4
matmul_rmsnorm_fused:L16.ffn_down        8.69     2.4
matmul_rmsnorm_fused:L14.ffn_down        8.66     2.4
matmul_rmsnorm_fused:L9.ffn_down        8.66     2.4
matmul_rmsnorm_fused:L6.ffn_down        8.65     2.4
matmul_rmsnorm_fused:L5.ffn_down        8.65     2.4
rmsnorm                          3.34     0.9
sample_phase2                    3.28     0.9
rope                             0.87     0.2
matmul:o_proj:L0                 0.78     0.2
matmul:q_proj:L0                 0.22     0.1
matmul:q_proj:L23                0.17     0.0
matmul:q_proj:L22                0.17     0.0
matmul:o_proj:L11                0.17     0.0
matmul:q_proj:L2                 0.16     0.0
matmul:o_proj:L15                0.16     0.0
matmul:o_proj:L23                0.15     0.0
matmul:q_proj:L11                0.15     0.0
matmul:o_proj:L4                 0.15     0.0
matmul:o_proj:L22                0.15     0.0
matmul:o_proj:L13                0.15     0.0
matmul:q_proj:L4                 0.15     0.0
matmul:o_proj:L25                0.15     0.0
matmul:q_proj:L13                0.15     0.0
matmul:q_proj:L1                 0.14     0.0
matmul:o_proj:L2                 0.14     0.0
matmul:o_proj:L18                0.14     0.0
matmul:o_proj:L1                 0.14     0.0
matmul:q_proj:L18                0.14     0.0
matmul:q_proj:L25                0.13     0.0
matmul:q_proj:L24                0.13     0.0
matmul:q_proj:L7                 0.13     0.0
matmul:o_proj:L3                 0.13     0.0
matmul:o_proj:L19                0.13     0.0
matmul:o_proj:L21                0.13     0.0
matmul:o_proj:L24                0.13     0.0
matmul:o_proj:L16                0.13     0.0
matmul:o_proj:L12                0.13     0.0
matmul:q_proj:L16                0.13     0.0
matmul:q_proj:L15                0.13     0.0
matmul:q_proj:L3                 0.13     0.0
matmul:q_proj:L14                0.13     0.0
matmul:q_proj:L12                0.13     0.0
matmul:q_proj:L21                0.13     0.0
matmul:q_proj:L8                 0.13     0.0
matmul:o_proj:L6                 0.13     0.0
matmul:q_proj:L20                0.13     0.0
matmul:q_proj:L9                 0.13     0.0
matmul:o_proj:L20                0.13     0.0
matmul:o_proj:L17                0.13     0.0
matmul:o_proj:L7                 0.13     0.0
matmul:q_proj:L5                 0.13     0.0
matmul:o_proj:L8                 0.13     0.0
matmul:o_proj:L5                 0.13     0.0
matmul:q_proj:L10                0.13     0.0
matmul:q_proj:L19                0.12     0.0
matmul:o_proj:L14                0.12     0.0
matmul:o_proj:L10                0.12     0.0
matmul:o_proj:L9                 0.12     0.0
matmul:q_proj:L17                0.12     0.0
matmul:q_proj:L6                 0.12     0.0
matmul:v_proj:L0                 0.08     0.0
matmul:k_proj:L0                 0.08     0.0
sample_phase1                    0.07     0.0
matmul:k_proj:L15                0.07     0.0
matmul:k_proj:L22                0.06     0.0
matmul:v_proj:L22                0.06     0.0
matmul:v_proj:L15                0.06     0.0
matmul:k_proj:L23                0.06     0.0
matmul:k_proj:L4                 0.06     0.0
matmul:k_proj:L2                 0.06     0.0
matmul:v_proj:L11                0.06     0.0
matmul:k_proj:L13                0.06     0.0
matmul:v_proj:L4                 0.06     0.0
matmul:k_proj:L11                0.06     0.0
matmul:k_proj:L18                0.05     0.0
matmul:v_proj:L13                0.05     0.0
matmul:v_proj:L2                 0.05     0.0
matmul:v_proj:L18                0.05     0.0
sample_phase3                    0.05     0.0
matmul:k_proj:L7                 0.05     0.0
matmul:k_proj:L1                 0.05     0.0
matmul:v_proj:L23                0.05     0.0
matmul:k_proj:L25                0.05     0.0
matmul:k_proj:L24                0.05     0.0
matmul:v_proj:L25                0.05     0.0
matmul:k_proj:L21                0.05     0.0
matmul:v_proj:L24                0.05     0.0
matmul:k_proj:L16                0.05     0.0
matmul:v_proj:L7                 0.05     0.0
matmul:k_proj:L3                 0.05     0.0
matmul:v_proj:L1                 0.05     0.0
matmul:k_proj:L19                0.05     0.0
matmul:k_proj:L10                0.05     0.0
matmul:k_proj:L12                0.05     0.0
matmul:k_proj:L8                 0.04     0.0
matmul:v_proj:L21                0.04     0.0
matmul:k_proj:L17                0.04     0.0
matmul:k_proj:L6                 0.04     0.0
matmul:v_proj:L5                 0.04     0.0
matmul:k_proj:L14                0.04     0.0
matmul:v_proj:L16                0.04     0.0
matmul:k_proj:L20                0.04     0.0
matmul:k_proj:L5                 0.04     0.0
matmul:v_proj:L20                0.04     0.0
matmul:k_proj:L9                 0.04     0.0
matmul:v_proj:L14                0.04     0.0
matmul:v_proj:L12                0.04     0.0
matmul:v_proj:L10                0.04     0.0
matmul:v_proj:L3                 0.04     0.0
matmul:v_proj:L19                0.04     0.0
matmul:v_proj:L8                 0.04     0.0
matmul:v_proj:L9                 0.04     0.0
matmul:v_proj:L6                 0.04     0.0
matmul:v_proj:L17                0.04     0.0
gather                           0.03     0.0
scale                            0.02     0.0
──────────────────────────────────────────────────
TOTAL                          361.38   100.0

[browser:warning] [5152.4ms][Profile] Batch decode (N=4):
[browser:warning] [5152.7ms][Profile] GPU Profile Report
──────────────────────────────────────────────────
Kernel                      Time (ms)       %
──────────────────────────────────────────────────
fused_ffn                       41.23    11.2
attention                       34.54     9.4
matmul:lm_head                  30.83     8.4
matmul_rmsnorm_fused:L0.ffn_down       11.04     3.0
matmul_rmsnorm_fused:L9.ffn_down       10.61     2.9
matmul_rmsnorm_fused:L22.ffn_down       10.42     2.8
matmul_rmsnorm_fused:L19.ffn_down       10.42     2.8
matmul_rmsnorm_fused:L4.ffn_down       10.33     2.8
matmul_rmsnorm_fused:L11.ffn_down       10.31     2.8
matmul_rmsnorm_fused:L25.ffn_down       10.12     2.8
matmul_rmsnorm_fused:L17.ffn_down        9.79     2.7
matmul_rmsnorm_fused:L6.ffn_down        9.78     2.7
matmul_rmsnorm_fused:L15.ffn_down        9.59     2.6
matmul_rmsnorm_fused:L14.ffn_down        9.17     2.5
matmul_rmsnorm_fused:L7.ffn_down        9.09     2.5
matmul_rmsnorm_fused:L16.ffn_down        8.93     2.4
matmul_rmsnorm_fused:L21.ffn_down        8.80     2.4
matmul_rmsnorm_fused:L1.ffn_down        8.74     2.4
matmul_rmsnorm_fused:L2.ffn_down        8.74     2.4
matmul_rmsnorm_fused:L10.ffn_down        8.71     2.4
matmul_rmsnorm_fused:L18.ffn_down        8.70     2.4
